name,mode,min,default,max,scale
a0,variable,0.1,1,3,lin
a1,variable,0,0,0.1,lin
a2,variable,0,1,1,lin
acde,variable,0.1,1,1.6,lin
ags,variable,0,0,1.5,lin
cf,variable,0,0,2e-10,lin
cgdl,variable,0,1e-10,5.1e-9,lin
cgdo,variable,1e-12,1e-10,4e-10,lin
ckappas,variable,0.1,0.6,20,lin
clc,variable,0,1e-7,3e-7,lin
cle,variable,0.2,0.6,1,lin
dlc,variable,-1e-7,0,1e-7,lin
drout,variable,0.1,0.56,2,lin
dsub,variable,0.1,0.56,1,lin
dvt0,variable,0,2.2,20,lin
dvt0w,variable,-1,0,10,lin
dvt1,variable,0.1,0.53,1.5,lin
dvt1w,variable,0.1,5.3e+06,1e+7,log
dvt2,variable,-0.12,-0.032,0.12,lin
dvt2w,variable,-0.05,-0.032,0,lin
dwg,variable,-1.5e-8,0,1e-7,lin
eta0,variable,0,0.08,1,lin
etab,variable,-0.5,-0.07,0,lin
k1,variable,0,0.53,1.2,lin
k2,variable,-0.05,-0.0186,0.05,lin
k3,variable,-100,80,100,lin
k3b,variable,-30,0,30,lin
keta,variable,-0.1,-0.0047,0,lin
lint,variable,-1e-7,0,1e-7,lin
ll,variable,-1e-15,0,1e-13,lin
moin,variable,5,15,25,lin
ndep,variable,1e16,1e17,1e19,log
nfactor,variable,0,1,2.5,lin
ngate,variable,1e18,1.0e+20,1e25,log
noff,variable,0.1,1,4,lin
pclm,variable,1e-8,1.3,5,log
pdiblc1,variable,1e-7,0.39,1,log
pdiblc2,variable,1e-6,0.086,0.1,log
pdiblcb,variable,-1,0,0.5,lin
pvag,variable,-1,0,5,lin
rdsw,variable,0,200,3e3,lin
toxp,variable,2e-9,5e-09,8e-9,lin
u0,variable,3,670,700,lin
ua,variable,-1e-8,1e-09,2e-09,log
ub,variable,1e-21,1e-19,1e-17,log
uc,variable,-1e-8,-0.0465e-09,1e-8,lin
voff,variable,-0.18,-0.08,0,lin
voffcv,variable,-0.5,0,0.5,lin
vsat,variable,5e+3,8e+04,5e+5,log
vth0,variable,-2,0.5,2,lin
w0,variable,1.5e-11,2.5e-06,5e-6,log
wint,variable,-1e-7,0,1.5e-7,lin
ww,variable,-1e-13,0,1e-15,lin
wwl,variable,-1e-19,0,1e-19,lin
lwl,variable,-1e-19,0,1e-19,lin
voffl,variable,-1e-7,0,1e-8,lin
xpart,variable,0,0,1,lin
bin_pvsat,variable,0,0,1,lin
bin_prdsw,variable,0,0,1,lin
bin_ppclm,variable,0,0,1,lin
bin_wketa,variable,0,0,1,lin
bin_lketa,variable,0,0,1,lin
bin_pketa,variable,0,0,1,lin
bin_wk3,variable,0,0,1,lin
bin_wk3b,variable,0,0,1,lin
